  PID TTY          TIME CMD
 1703 ?        00:00:00 gvfsd
 1708 ?        00:00:00 gvfsd-fuse
 1711 ?        00:00:00 at-spi-bus-laun
 1722 ?        00:00:00 dbus-daemon
 1725 ?        00:00:01 at-spi2-registr
 1741 tty2     00:03:48 gnome-shell
 1751 ?        00:02:57 pulseaudio
 1755 ?        00:00:00 krfcommd
 1770 tty2     00:00:04 ibus-daemon
 1773 ?        00:00:00 xdg-permission-
 1778 tty2     00:00:00 ibus-dconf
 1780 tty2     00:00:00 ibus-x11
 1782 ?        00:00:00 ibus-portal
 1793 ?        00:00:00 gnome-shell-cal
 1801 ?        00:00:00 gvfs-udisks2-vo
 1805 ?        00:00:00 gvfs-goa-volume
 1809 ?        00:00:00 goa-daemon
 1813 ?        00:00:00 evolution-sourc
 1826 ?        00:00:00 goa-identity-se
 1831 ?        00:00:00 gvfs-mtp-volume
 1835 ?        00:00:00 gvfs-afc-volume
 1840 ?        00:00:00 gvfs-gphoto2-vo
 1847 tty2     00:00:00 gsd-power
 1848 tty2     00:00:00 gsd-print-notif
 1849 tty2     00:00:00 gsd-rfkill
 1850 tty2     00:00:00 gsd-screensaver
 1851 tty2     00:00:01 gsd-sharing
 1858 tty2     00:00:00 gsd-smartcard
 1861 tty2     00:00:00 gsd-sound
 1864 tty2     00:00:00 gsd-wacom
 1870 tty2     00:00:00 gsd-xsettings
 1878 tty2     00:00:00 gsd-a11y-settin
 1881 tty2     00:00:00 gsd-clipboard
 1887 tty2     00:00:01 gsd-color
 1890 tty2     00:00:00 gsd-datetime
 1891 tty2     00:00:01 gsd-housekeepin
 1892 tty2     00:00:00 gsd-keyboard
 1893 tty2     00:00:00 gsd-media-keys
 1899 tty2     00:00:00 gsd-mouse
 1929 tty2     00:00:00 gsd-printer
 1935 tty2     00:00:01 nautilus-deskto
 1942 tty2     00:00:00 gsd-disk-utilit
 1970 ?        00:00:00 evolution-calen
 1978 tty2     00:00:01 ibus-engine-sim
 1984 ?        00:00:00 gvfsd-trash
 2007 ?        00:00:00 dconf-service
 2014 ?        00:00:00 evolution-calen
 2023 ?        00:00:00 evolution-addre
 2036 ?        00:00:00 evolution-addre
 2052 ?        00:00:00 gvfsd-metadata
 2055 tty2     00:00:02 jetbrains-toolb
 2059 ?        00:00:02 jetbrains-toolb
 2091 tty2     00:00:00 jetbrains-toolb
 2108 tty2     00:00:01 jetbrains-toolb
 2138 tty2     00:00:00 jetbrains-toolb
 2158 tty2     00:00:00 update-notifier
 2161 tty2     00:00:03 gnome-software
 2182 ?        00:00:00 fwupd
 2277 tty2     00:00:00 deja-dup-monito
 2350 tty2     00:05:11 chrome
 2357 tty2     00:00:00 cat
 2358 tty2     00:00:00 cat
 2361 tty2     00:00:00 chrome
 2362 tty2     00:00:00 nacl_helper
 2365 tty2     00:00:00 chrome
 2385 tty2     00:12:14 chrome
 2391 tty2     00:01:15 chrome
 2469 tty2     00:01:15 chrome
 2483 tty2     00:00:05 chrome
 2540 tty2     00:00:10 chrome
 2548 tty2     00:00:20 chrome
 2554 tty2     00:00:01 chrome
 2636 tty2     00:00:42 chrome
 2672 tty2     00:00:01 chrome
 2758 tty2     00:00:18 chrome
 2770 tty2     00:00:09 chrome
 2817 tty2     00:00:06 chrome
 2818 tty2     00:00:09 chrome
 2959 tty2     00:00:00 clion.sh
 3017 tty2     00:08:57 java
 3163 tty2     00:01:46 chrome
 3188 tty2     00:00:33 chrome
 3232 tty2     00:00:11 chrome
 3265 tty2     00:05:32 chrome
 3296 tty2     00:00:02 chrome
 3308 tty2     00:00:07 chrome
 3320 tty2     00:00:00 chrome
 3378 tty2     00:00:00 fsnotifier64
 3562 tty2     00:00:24 ion.clangd.main
 5376 tty2     00:00:09 chrome
 5441 tty2     00:08:37 chrome
 5601 ?        00:00:03 nautilus
 5625 ?        00:00:00 zeitgeist-daemo
 5640 ?        00:00:00 zeitgeist-fts
 5672 ?        00:00:00 xdg-document-po
 6028 ?        00:00:00 kworker/5:0-eve
 7543 ?        00:00:04 kworker/u16:2-p
 7585 tty2     00:04:22 chrome
 7620 tty2     00:00:00 chrome
 7633 tty2     00:16:55 chrome
 8638 ?        00:00:00 kworker/4:2-eve
 8726 ?        00:00:00 kworker/5:1-eve
 9866 ?        00:00:00 kworker/7:1-eve
 9989 ?        00:00:01 kworker/u16:1-i
10623 ?        00:00:00 kworker/3:0-eve
10627 ?        00:00:00 kworker/u16:0-i
10715 tty2     00:01:33 chrome
10753 ?        00:00:00 kworker/0:2-eve
10793 tty2     00:00:10 chrome
10834 ?        00:00:00 kworker/2:2-cgr
11055 ?        00:00:00 kworker/6:2-eve
11072 tty2     00:00:05 chrome
11313 ?        00:00:00 gnome-terminal-
11323 pts/0    00:00:00 bash
11399 tty2     00:00:07 chrome
11553 ?        00:00:00 kworker/0:0
11622 pts/0    00:00:00 top
11623 ?        00:00:00 kworker/7:2-eve
11676 tty2     00:00:01 chrome
11707 ?        00:00:00 kworker/4:0-mm_
11708 ?        00:00:00 kworker/1:1-mm_
11810 ?        00:00:00 kworker/2:0-eve
11880 tty2     00:00:05 chrome
11939 ?        00:00:00 kworker/6:1-eve
11954 tty2     00:00:00 chrome
12221 ?        00:00:00 kworker/3:2-eve
12349 ?        00:00:00 kworker/u16:3-i
12565 ?        00:00:00 kworker/2:1-eve
12612 tty2     00:00:00 OS
12614 tty2     00:00:00 sh
12615 tty2     00:00:00 ps
